ObjectName;AdmArea;District;Address
Парк, озелененная городская территория «Лианозовский парк культуры и отдыха»;Северо-Восточный административный округ;район Лианозово;Угличская улица, дом 13
Парк, озелененная городская территория «Красная Пахра»;Троицкий административный округ;поселение Краснопахорское;село Былово, дом 3
Парк у прудов «Радуга»;Восточный административный округ;район Вешняки;Вешняковская улица, дом 16
Парк «Гольяново»;Восточный административный округ;район Гольяново;Алтайская улица, дом 4
Государственный историко-архитектурный, художественный и ландшафтный музей-заповедник «Царицыно»;Южный административный округ;район Бирюлёво Восточное;Дольская улица, дом 1
Дворовая территория;Северо-Восточный административный округ;район Отрадное;Алтуфьевское шоссе, дом 20А
Парк (озелененная городская территория);Северный административный округ;Головинский район;1-й Лихачёвский переулок, дом 4, корпус 2А
Природный исторический парк «Покровское Стрешнево»;Северо-Западный административный округ;район Покровское-Стрешнево;Иваньковское шоссе, дом 6
Парк народный;Северо-Восточный административный округ;район Отрадное;Юрловский проезд, дом 8, строение 1
Парк народный;Центральный административный округ;Басманный район;улица Покровка, дом 48, строение 1
Спортивный комплекс учреждения социальной защиты населения «Солнечный круг»;Восточный административный округ;район Восточное Измайлово;16-я Парковая улица, дом 4
Парк имени Герцена;Южный административный округ;район Бирюлёво Восточное;Загорьевский проезд, дом 4
Парк народный «Ивановские пруды»;Восточный административный округ;район Ивановское;улица Сталеваров, дом 4, корпус 4
Парк, озелененная городская территория «Ручеек»;Новомосковский административный округ;поселение Марушкинское;деревня Марушкино, улица Липовая Аллея, дом 5
Парк (особо охраняемая природная территория);Южный административный округ;район Бирюлёво Восточное;Липецкая улица, дом 26
Парк «Никулино»;Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 86Д
Парк, озелененная городская территория;Юго-Восточный административный округ;Южнопортовый район;2-й Южнопортовый проезд, дом 15
Природно-исторический парк «Кузьминки-Люблино»;Юго-Восточный административный округ;район Выхино-Жулебино;улица Заречье, владение 14
Сквер по Ракетному бульвару;Северо-Восточный административный округ;Алексеевский район;Ракетный бульвар, дом 8
Сквер по Олонецкому проезду;Северо-Восточный административный округ;район Северное Медведково;Олонецкий проезд, дом 20
Народный парк «Парк на набережной в Печатниках»;Юго-Восточный административный округ;район Печатники;улица Гурьянова, дом 83, строение 13
Сквер по Олонецкому проезду;Северо-Восточный административный округ;Бабушкинский район;Олонецкий проезд, дом 20
Парк, озелененная городская территория «Природно-исторический парк «Москворецкий»»;Западный административный округ;район Крылатское;Крылатская улица, дом 28
Сквер по Олонецкому проезду;Северо-Восточный административный округ;район Южное Медведково;Олонецкий проезд, дом 20
Природный заказник «Долина реки Сетунь»;Западный административный округ;район Фили-Давыдково;Кременчугская улица, дом 36
Парк, озелененная городская территория «Ростокинский акведук»;Северо-Восточный административный округ;район Ростокино;улица Бажова, дом 2
Бассейн плавательный «Радужный»;Западный административный округ;район Ново-Переделкино;Чоботовская улица, дом 4
Парк народный «Братеевский»;Южный административный округ;район Братеево;улица Борисовские Пруды, дом 8, корпус 1
Тропаревский лесопарк;Западный административный округ;район Тропарёво-Никулино;улица Лобачевского, владение 3
Парк, озелененная городская территория «Березовая роща»;Северный административный округ;Хорошёвский район;улица Куусинена, дом 15, корпус 3
Парк культуры и отдыха имени «60-летия Октября»;Западный административный округ;район Солнцево;улица Богданова, дом 6
Парк, озелененная городская территория «Парк имени героев отечественной войны 1812 года»;Юго-Восточный административный округ;район Марьино;улица Верхние Поля, дом 8
Парк, озелененная городская территория «Красная Пахра»;Троицкий административный округ;поселение Краснопахорское;улица Лазо, дом 4, корпус 2
Детский ландшафтный парк «Южное Бутово»;Юго-Западный административный округ;район Южное Бутово;улица Адмирала Лазарева, владение 17, строение 2
Парк, озелененная городская территория «Парк 850-летия»;Юго-Восточный административный округ;район Марьино;Поречная улица, дом 13, корпус 1
Парк у пруда Бекет;Южный административный округ;Донской район;Загородное шоссе, дом 2, сооружение 1
Тропаревский лесопарк;Юго-Западный административный округ;Обручевский район;улица 26-ти Бакинских Комиссаров, дом 4, корпус 4
Парк (озелененная городская территория) «Имени Артема Боровика»;Юго-Восточный административный округ;район Марьино;улица Перерва, дом 41, корпус 1
Футбольный клуб «Строгино»;Западный административный округ;район Кунцево;улица Василия Ботылева, дом 41
Крытое сооружение с искусственным льдом «Ледовый дворец Крылатское»;Западный административный округ;район Крылатское;Крылатская улица, дом 16
Лесопарк Покровское-Стрешнево, квартал 10 (ПК № 97);Северо-Западный административный округ;район Щукино;Сосновая улица, дом 3, строение 2
Парк, озелененная городская территория «Природно-исторический парк «Измайлово»»;Восточный административный округ;район Ивановское;Измайловский проспект, владение 54
Парк, озелененная городская территория «Парк «Фестивальный»;Центральный административный округ;Мещанский район;улица Сущёвский Вал, дом 56, строение 2
Выставка достижений народного хозяйства;Северо-Восточный административный округ;Останкинский район;проспект Мира, дом 119, строение 6
Парк, озелененная городская территория «Зеленая зона поймы реки Яуза»;Северо-Восточный административный округ;Бабушкинский район;Осташковская улица, дом 14, строение 3
Парк народный «Яблоневый сад»;Юго-Восточный административный округ;район Капотня;3-й квартал Капотня, дом 3
Парк, озелененная городская территория «Гончаровский»;Северо-Восточный административный округ;Бутырский район;улица Руставели, дом 7, строение 1
Лесопарк «Терлецкая дубрава»;Восточный административный округ;район Ивановское;улица Металлургов, дом 52
Народный парк;Северный административный округ;Головинский район;Кронштадтский бульвар, дом 39, корпус 1
Государственное автономное учреждение культуры города Москвы «Поклонная гора»;Западный административный округ;район Дорогомилово;улица Братьев Фонченко, дом 7
Ландшафтный парк «Зеленая зона реки Чермянки»;Северо-Восточный административный округ;район Бибирево;Белозерская улица, дом 23
Парк, озелененная городская территория;Юго-Восточный административный округ;район Выхино-Жулебино;Привольный проезд, дом 12
Парк, озелененная городская территория «Сквер Родная гавань»;Южный административный округ;район Чертаново Центральное;Кировоградская улица, дом 19, корпус 1
Народный парк;Северо-Восточный административный округ;район Отрадное;Юрловский проезд, дом 8, строение 1
Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Бабушкинский»;Северо-Восточный административный округ;Лосиноостровский район;улица Менжинского, дом 6
Спортивная арена «РЖД-Арена (стадион Локомотив)»;Восточный административный округ;район Преображенское;Большая Черкизовская улица, владение 125, строение 1
Спортивный комплекс среднего профессионального образовательного учреждения «ГБПОУ «Спортивно-педагогический колледж» Москомспорта»;Южный административный округ;район Чертаново Южное;Кировоградская улица, дом 21, корпус 1, строение 2
Парк (особо охраняемая природная территория);Западный административный округ;район Тропарёво-Никулино;проспект Вернадского, дом 89
Парк народный «Сосны»;Троицкий административный округ;поселение Новофедоровское;деревня Яковлевское, дом 17
Парк, озелененная городская территория «Парк 50-летия Октября»;Западный административный округ;район Проспект Вернадского;улица Удальцова, дом 22, корпус 2
Парк народный;Восточный административный округ;район Косино-Ухтомский;Оранжерейная улица, владение 24, строение 1
Парк, озелененная городская территория «Парк культуры и отдыха в Садовниках»;Южный административный округ;район Нагатино-Садовники;проспект Андропова, дом 58А
Парк культуры и отдыха «Фили»;Западный административный округ;район Филёвский Парк;Большая Филёвская улица, дом 22, строение 2
Государственное автономное учреждение культуры города Москвы «Парк культуры и отдыха «Сокольники»;Восточный административный округ;район Сокольники;1-й Лучевой просек, дом 5
Парк имени Шкулева;Юго-Восточный административный округ;район Текстильщики;улица Шкулёва, дом 2А, строение 1
Парк, озелененная городская территория «Парк спорта «Яуза»»;Северо-Восточный административный округ;район Ростокино;проспект Мира, дом 161
Природно - исторический парк «Битцевский лес»;Юго-Западный административный округ;район Северное Бутово;улица Инессы Арманд, дом 13
Дворовая территория;Восточный административный округ;район Восточное Измайлово;Измайловский бульвар, дом 60/10
Парк народный;Центральный административный округ;Басманный район;Большой Спасоглинищевский переулок, дом 9, строение 7
Зона отдыха «Серебряно-Виноградные пруды»;Восточный административный округ;район Измайлово;Измайловский проезд, дом 3, корпус 1
Парк «Яблоневый сад»;Северо-Западный административный округ;район Строгино;Неманский проезд, дом 9
Парк, озелененная городская территория «Тропаревский лесопарк ПК №43»;Юго-Западный административный округ;Обручевский район;улица Миклухо-Маклая, дом 9
Природно - исторический парк «Битцевский лес»;Южный административный округ;район Чертаново Центральное;Новоясеневский тупик, дом 1, строение 2
Парк Олимпийской деревни;Западный административный округ;район Тропарёво-Никулино;улица Мичуринский Проспект, Олимпийская Деревня, дом 16, корпус 2
Парк, озелененная городская территория «Черкизовский детский парк»;Восточный административный округ;район Преображенское;Большая Черкизовская улица, дом 125, строение 11
Лесопарк «Терлецкий», Природно-исторический парк «Измайлово»;Восточный административный округ;район Ивановское;улица Металлургов, дом 41, строение 1
Парк, озелененная городская территория «Чапаевский»;Северный административный округ;Хорошёвский район;Ленинградский проспект, дом 59
Парк народный у метро Люблино;Юго-Восточный административный округ;район Люблино;Краснодарская улица, дом 48
Природно-исторический парк «Москворецкий»;Северо-Западный административный округ;район Строгино;улица Исаковского, дом 24, корпус 1
Парк по Ангарской улице;Северный административный округ;Дмитровский район;Ангарская улица, дом 53, корпус 1
Зона отдыха «Борисовские пруды»;Южный административный округ;район Москворечье-Сабурово;улица Борисовские Пруды, дом 1, строение 15А
Парк народный «Зюзино»;Юго-Западный административный округ;район Зюзино;улица Каховка, дом 9, корпус 2
Усадьба «Алтуфьево»;Северо-Восточный административный округ;район Лианозово;Алтуфьевское шоссе, дом 147А
Парк 3-ий квартал Тропарёвского лесопарка;Юго-Западный административный округ;район Ясенево;улица Миклухо-Маклая, дом 65, корпус 1
Парк, озелененная городская территория «Природно-исторический парк «Измайлово»»;Восточный административный округ;район Измайлово;Измайловский проспект, владение 54
Ландшафтный заказник Теплый стан;Юго-Западный административный округ;район Тёплый Стан;улица Академика Виноградова, дом 12
Парк, озелененная городская территория «Парк «Пойма реки Городня»;Южный административный округ;район Братеево;Братеевская улица, владение 4, корпус 1
Физкультурно-оздоровительный комплекс «Спортивная школа № 93 На Можайке»;Западный административный округ;Можайский район;улица Гришина, дом 8, корпус 3
Парк «Бирюлевский дендропарк»;Южный административный округ;район Бирюлёво Восточное;Липецкая улица, дом 10, корпус 2
Тропаревский лесопарк;Западный административный округ;район Тропарёво-Никулино;улица 26-ти Бакинских Комиссаров, дом 4, корпус 4
Дворовая территория;Восточный административный округ;район Восточное Измайлово;Сиреневый бульвар, дом 40, корпус 2
Парк «Дубки»;Северный административный округ;Тимирязевский район;улица Дубки, дом 6
Парк, озелененная городская территория «Северное Тушино»;Северо-Западный административный округ;район Северное Тушино;улица Свободы, дом 56
Парк, озелененная городская территория «Борисовские пруды»;Южный административный округ;район Орехово-Борисово Северное;улица Маршала Захарова, дом 6, корпус 1
Парк «Северные Дубки»;Северный административный округ;район Восточное Дегунино;Керамический проезд, дом 65, корпус 1